code,entry_date,exit_date,entry_price,exit_price,shares,exit_reason,pnl,pnl_pct,holding_days,trade_group,assumed_slippage_pct
5802.T,2024-06-10,2024-06-20,2496.8078611628857,2380.413237924127,5278,po_break,-627201.80793466,-4.6617372946169855,7,5802.T:2024-06-10,0.1
5803.T,2024-06-13,2024-06-21,534.4483381781068,504.2870711921831,24784,stop_sma20_break,-760388.8501720511,-5.643439193532007,5,5803.T:2024-06-13,0.1
7011.T,2024-06-03,2024-06-25,1351.433524515363,1586.2244566852362,9665,max_holding_days,2255058.1272276733,17.373472531996835,15,7011.T:2024-06-03,0.1
6861.T,2024-07-03,2024-07-19,70502.51910202675,69771.20082178991,188,stop_sma20_break,-150673.56635736453,-1.0372938294283096,10,6861.T:2024-07-03,0.1
5803.T,2024-07-12,2024-07-19,548.2144298730012,513.9848437638584,24436,stop_loss_pct,-849412.1168883089,-6.243831654900511,3,5803.T:2024-07-12,0.1
8035.T,2024-07-17,2024-07-19,34182.98027306898,28858.918953546075,391,po_break,-2094032.6672322578,-15.575181792201597,1,8035.T:2024-07-17,0.1
4063.T,2024-07-01,2024-07-24,6063.660687647549,6243.445030219528,2185,max_holding_days,379383.275523005,2.9649472790953313,15,4063.T:2024-07-01,0.1
6857.T,2024-08-22,2024-08-28,6557.953517947051,6148.792629335993,1970,po_break,-818563.095518858,-6.239155057920332,3,6857.T:2024-08-22,0.1
7011.T,2024-08-26,2024-08-28,1807.1664363499126,1834.5329549048142,7096,po_break,181272.0662254102,1.5143330467212612,1,7011.T:2024-08-26,0.1
5802.T,2024-10-11,2024-10-21,2309.3818212181927,2230.327913174946,5561,po_break,-452241.4455449755,-3.423163173664634,4,5802.T:2024-10-11,0.1
7011.T,2024-11-13,2024-11-25,2283.776405389751,2305.411340363078,5600,po_break,108305.9101625249,0.9473315742411836,7,7011.T:2024-11-13,0.1
5802.T,2024-12-12,2024-12-16,2856.36584368141,2746.6342879173885,4482,po_break,-504373.1562292565,-3.841649206342368,1,5802.T:2024-12-12,0.1
5803.T,2024-12-13,2024-12-17,1000.1404693311376,1063.5568576600967,12741,po_break,794841.4198776702,6.340748152244058,1,5803.T:2024-12-13,0.1
6857.T,2024-12-19,2024-12-23,8267.332943124504,8696.616340555665,1553,stop_sma20_break,653504.6095918163,5.1925258167832,1,6857.T:2024-12-19,0.1
